,hashtag,values
1114,Netflix,1
1115,TerminatorGenisys,1
1116,Spanish,1
1117,French,1
1118,HD,1
1119,empath,1
1120,novelty,1
1121,keepitsilly,1
1122,liveit,1
1123,loveit,1
1124,GOP,1
1125,RINOs,1
1126,mcconnelling,1
1127,boehnermustgo,1
1128,Midnight,1
1129,SoCal,1
1130,yourewelcome,1
1131,ThisOneIncluded,1
1132,CrackRehab,1
1133,backstage,1
1134,LoveThisMoment,1
1135,wine,1
1136,TSA,1
1137,thestruggle,1
1138,stupidwordsof2014,1
1139,tacos,1
1140,indicators,1
1141,SDG,1
1142,cheep,1
1143,StopTalkinStartDoin,1
1144,chipotle,1
1145,worldseries,1
1146,classic,1
1147,americanmusclecar,1
1148,pontiacfirebird,1
1149,400v8,1
1150,karma,1
1151,ToDoList,1
1152,actors,1
1153,acting,1
1154,ForReal,1
1155,TheStruggle,1
1156,2015bucketlist,1
1157,adoptarescue,1
1158,amwritingfantasy,1
1159,liveandlearn,1
1160,crocheting,1
1161,champagneyogi,1
1162,dreamofphilanthropy,1
1163,lt,1
1164,Maybe,1
1165,Unstoppable,1
1166,starbswiththegirls,1
1167,WordsToLiveBy,1
1168,JaneTheVirgin,1
1169,mississippi,1
1170,LOTR,1
1171,smashed,1
1172,FeelingTerrified,1
1173,realisticresolutions,1
1174,lifelongresolution,1
1175,cantfail,1
1176,2015ready,1
1177,MoreCats,1
1178,CatLyfe,1
1179,nomakeup,1
1180,foolsomeofthepeoplesomeofthetime,1
1181,lotsofmakeup,1
1182,donteven,1
1183,dedicated,1
1184,help,1
1185,grumpyhuman,1
1186,keepingitsimp,1
1187,nye2015,1
1188,ALittleHelpGod,1
1189,dropthediet,1
1190,starttheyearright,1
1191,EverySimpsonsEver,1
1192,news8at4,1
1193,21,1
1194,NotarizedBET,1
1195,DaddyToBe,1
1196,MagnumPI,1
1197,netflix,1
1198,MyThirties,1
1199,SaveWater,1
1200,fitspo,1
1201,icecream,1
1202,SharkTank,1
1203,DDPYoga,1
1204,NewYearsHealth,1
1205,Livehealthy,1
1206,keepitreal,1
1207,Streak32,1
1208,fatnesstofitness,1
1209,eyebrows,1
1210,Toronto,1
1211,heartonmysleeve,1
1212,catchingup,1
1213,GoBeavs,1
1214,GoBooze,1
1215,truth,1
1216,LifeUntapped,1
1217,127243,1
1218,exit109,1
1219,boyrusher,1
1220,ThisStopsToday,1
1221,ForSure,1
1222,London,1
1223,20,1
1224,MileyCyrus,1
1225,datingadvice,1
1226,singlelife,1
1227,conquer,1
1228,ChristJesus,1
1229,157143,1
1230,gains,1
1231,Booyah,1
1232,mindful,1
1233,foreverclumsy,1
1234,nye,1
1235,lifetime,1
1236,Arizona,1
1237,chickens,1
1238,ducks,1
1239,miniaturecow,1
1240,miniaturedonkey,1
1241,yeahright,1
1242,fitandhealthy,1
1243,BiOY,1
1244,weddingetiquette,1
1245,LOL,1
1246,EndBullying,1
1247,gaspump,1
1248,SHBAM,1
1249,BodyPump,1
1250,BodyVive,1
1251,LesMills,1
1252,productive,1
1253,careerpath,1
1254,nurselife,1
1255,nurse,1
1256,cheating,1
1257,php,1
1258,webdevelopment,1
1259,eathealthier,1
1260,Happy,1
1261,andwhat,1
1262,mountain,1
1263,keepitsimple,1
1264,vegetarian,1
1265,nomeat,1
1266,vegetarianism,1
1267,Hairstylist,1
1268,Amazing,1
1269,SeemsRealistic,1
1270,YOTC,1
1271,500in2015,1
1272,ADE,1
1273,DoYouWantIn,1
1274,IwantIN,1
1275,nycarts,1
1276,JesusChrist,1
1277,quiet,1
1278,Lent,1
1279,FeministN,1
1280,nodaysoff,1
1281,breakingupwithH,1
1282,bobsburgers,1
1283,thankful2014,1
1284,StephTurns40,1
1285,healthyteeth,1
1286,LetsMakeItAGoodOne,1
1287,BrightSide,1
1288,DadMadeMeDoThis,1
1289,ShareTheLove,1
1290,18,1
1291,my,1
1292,more,1
1293,hiphop,1
1294,vinyl,1
1295,records,1
1296,beats,1
1297,lootpack,1
1298,madlib,1
1299,wildchild,1
1300,polarvortex,1
1301,MoreActionMike,1
1302,nope,1
1303,saranwrap,1
1304,200DaysWithoutRayBan,1
1305,birthday,1
1306,noshopping,1
1307,save,1
1308,8,1
1309,magicmike,1
1310,comics,1
1311,ColorfulCountdown,1
1312,LetsGoRoyals,1
1313,KansasCityRoyals,1
1314,organic,1
1315,hair,1
1316,365,1
1317,twilight,1
1318,insperation,1
1319,2015ismyyear,1
1320,theinlivingcolor,1
1321,flygirls,1
1322,musiclife,1
1323,believe,1
1324,wcw,1
1325,sodafree2015,1
1326,Catholic,1
1327,Bye2014,1
1328,NewYearsWish,1
1329,FredericChopin,1
1330,Etudes,1
1331,SimpleEnough,1
1332,breakup,1
1333,regrets,1
1334,DSED,1
1335,DoSomethingEveryDay,1
1336,40weeks,1
1337,thatsapromise,1
1338,God1St,1
